text,label,source,original_label
how can I see how soon can I expect the product?,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
create a for-while loop that continues 10 times,ambiguous,CLINC OOS Dataset (test),oos
I want to set my secondary delivery address up,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=set_up_shipping_address
can you list me tiger wood's stats,ambiguous,CLINC OOS Dataset (train),oos
need help seeing what hours i can contact customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,spam,UCI SMS Spam Collection,spam
i want help chatting with a human gaent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
can i check at what time i can reach customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",spam,UCI SMS Spam Collection,spam
"I want to call customer service, how can I do it?",human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
what stores are in the local mall,ambiguous,CLINC OOS Dataset (test),oos
help me check at what time I can reach customer service,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
i have to check bill #37777 can i get some help,sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
I am trying to see how long refunds usually take,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
help to reset my user account pin,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=recover_password
what universities are nearby to me and highly rated,ambiguous,CLINC OOS Dataset (test),oos
i want help tallking with a human agent,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
want assistance contacting customer support,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",spam,UCI SMS Spam Collection,spam
want assistance notifying of issues with a registration,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=registration_problems
I don't know what I have to do to speak with an asistant,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",spam,UCI SMS Spam Collection,spam
how can I retrieve the password of my user profile?,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=recover_password
when are the winter olympic games,ambiguous,CLINC OOS Dataset (test),oos
how to check the status of order {{Order Number}}?,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=track_order
tell me how i can file a pleading in circuit court,ambiguous,CLINC OOS Dataset (test),oos
85233 FREE>Ringtone!Reply REAL,spam,UCI SMS Spam Collection,spam
"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",spam,UCI SMS Spam Collection,spam
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",spam,UCI SMS Spam Collection,spam
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam,UCI SMS Spam Collection,spam
please activate a wireless hotspot so i can use the internet,ambiguous,CLINC OOS Dataset (test),oos
are there any apartments for rent nearby,ambiguous,CLINC OOS Dataset (test),oos
where do I purchase some products?,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
I need to see in what situations can I ask to be reimbursed,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=check_refund_policy
where could I shop several of your item?,sales_or_contact,Bitext Customer Support Intent Dataset,category=ORDER; intent=place_order
tracking refund,sales_or_contact,Bitext Customer Support Intent Dataset,category=REFUND; intent=track_refund
how do i skip all of the advertisements,ambiguous,CLINC OOS Dataset (test),oos
What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!,spam,UCI SMS Spam Collection,spam
see my bills from {{Person Name}},sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=check_invoice
where can I check at what time I can call customer service?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_customer_service
want supports trying to modify the delivery address,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
can you really get arrested for yelling fire in a crowded theater,ambiguous,CLINC OOS Dataset (test),oos
i have a problem with an adress update,faq,Bitext Customer Support Intent Dataset,category=SHIPPING; intent=change_shipping_address
how old is jennifer aniston,ambiguous,CLINC OOS Dataset (test),oos
set a warning for when my bank account starts running low,ambiguous,CLINC OOS Dataset (validation),oos
how can I talk to somebody?,human_request,Bitext Customer Support Intent Dataset,category=CONTACT; intent=contact_human_agent
can you help me to see when my item is going to arrive?,faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_period
i have lost my pwd could i reset it,faq,Bitext Customer Support Intent Dataset,category=ACCOUNT; intent=recover_password
what is the fee for a cash advance,ambiguous,CLINC OOS Dataset (test),oos
send me bill from {{Person Name}},sales_or_contact,Bitext Customer Support Intent Dataset,category=INVOICE; intent=get_invoice
"I want to check the methods for delivery, help me",faq,Bitext Customer Support Intent Dataset,category=DELIVERY; intent=delivery_options
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,spam,UCI SMS Spam Collection,spam
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam,UCI SMS Spam Collection,spam
i do not know how i can ese the termination charges,faq,Bitext Customer Support Intent Dataset,category=CANCEL; intent=check_cancellation_fee
I don't knpw how to report payment issues,sales_or_contact,Bitext Customer Support Intent Dataset,category=PAYMENT; intent=payment_issue
