text,label,source
"Hello, Hi there. Please.",ambiguous,Concierge curated router examples
Quick question: Do you accept credit cards? Thanks.,faq,Concierge curated router examples
"Hello, Can you send me the subscription options? Thanks.",sales_or_contact,Concierge curated router examples
"Hello, Can you handle a few things for me? I appreciate it.",ambiguous,Concierge curated router examples
Quick question: Can a staff member reply? Can you help?,human_request,Concierge curated router examples
U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795,spam,UCI SMS Spam Collection
Can I get a custom plan? I appreciate it.,sales_or_contact,Concierge curated router examples
"Please, Where are you located? Thanks.",faq,Concierge curated router examples
How much does the service cost? Can you help?,faq,Concierge curated router examples
"Hi, How do I reset my password? Thanks.",faq,Concierge curated router examples
"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",spam,UCI SMS Spam Collection
Can a staff member reply? Thanks.,human_request,Concierge curated router examples
"Hello, Can your team follow up? Thanks.",human_request,Concierge curated router examples
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000928. PoBox45W2TG150P",spam,UCI SMS Spam Collection
"Please, Can I see your menu? I appreciate it.",faq,Concierge curated router examples
I am looking for a package for my company.,sales_or_contact,Concierge curated router examples
"Please, Please connect me with an agent. I appreciate it.",human_request,Concierge curated router examples
"Please, What are the membership options?",faq,Concierge curated router examples
Quick question: Please open a support ticket. Thanks.,human_request,Concierge curated router examples
"Please, What documents do I need? Can you help?",faq,Concierge curated router examples
"Hello, I want to order this product. I appreciate it.",sales_or_contact,Concierge curated router examples
I want to register for the service. I appreciate it.,sales_or_contact,Concierge curated router examples
"Hi, I need an employee to handle this.",human_request,Concierge curated router examples
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",spam,UCI SMS Spam Collection
"Hello, I want to order this product.",sales_or_contact,Concierge curated router examples
Do you have weekend appointments? Please.,faq,Concierge curated router examples
"Hello, What documents do I need? I appreciate it.",faq,Concierge curated router examples
"Hi, Can a staff member reply?",human_request,Concierge curated router examples
"Please, I need live support. Can you help?",human_request,Concierge curated router examples
How can I become a customer? Thanks.,sales_or_contact,Concierge curated router examples
You have an important customer service announcement from PREMIER.,spam,UCI SMS Spam Collection
Quick question: I want information. Can you help?,ambiguous,Concierge curated router examples
"Hello, Please open a support ticket.",human_request,Concierge curated router examples
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam,UCI SMS Spam Collection
"Hi, I want to request a demo. Can you help?",sales_or_contact,Concierge curated router examples
I want to talk to support. Thanks.,human_request,Concierge curated router examples
"Hello, Can I see your menu? Can you help?",faq,Concierge curated router examples
I do not want the chatbot.,human_request,Concierge curated router examples
"Please, How long does shipping take?",faq,Concierge curated router examples
"Please, Can someone from your team help me? Please.",human_request,Concierge curated router examples
"Hello, I need live support. Can you help?",human_request,Concierge curated router examples
"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.",spam,UCI SMS Spam Collection
"Please, Please escalate this to a person.",human_request,Concierge curated router examples
Quick question: Please contact me for a quote. I appreciate it.,sales_or_contact,Concierge curated router examples
"Hi, I need something. Thanks.",ambiguous,Concierge curated router examples
"Hi, I am looking for a package for my company. Thanks.",sales_or_contact,Concierge curated router examples
"Hi, Please contact me for a quote. Please.",sales_or_contact,Concierge curated router examples
"Please, Can I get a custom plan?",sales_or_contact,Concierge curated router examples
"Hi, What are your opening hours? Please.",faq,Concierge curated router examples
"Please, Tell me more. Can you help?",ambiguous,Concierge curated router examples
"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",spam,UCI SMS Spam Collection
"Hello, Tell me more. Please.",ambiguous,Concierge curated router examples
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,spam,UCI SMS Spam Collection
"Please, Something is wrong. I appreciate it.",ambiguous,Concierge curated router examples
"Hello, Can I change my appointment time? Thanks.",faq,Concierge curated router examples
"Please, What are the membership options? Please.",faq,Concierge curated router examples
"Hi, Please contact me for a quote.",sales_or_contact,Concierge curated router examples
Quick question: I am ready to purchase.,sales_or_contact,Concierge curated router examples
Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,spam,UCI SMS Spam Collection
"Hi, I need human support. Thanks.",human_request,Concierge curated router examples
"Hello, Can you check this? Please.",ambiguous,Concierge curated router examples
How do I reset my password? Thanks.,faq,Concierge curated router examples
Quick question: I need live support.,human_request,Concierge curated router examples
"Hello, Escalate my issue. Please.",human_request,Concierge curated router examples
"Hello, I need an employee to handle this. Please.",human_request,Concierge curated router examples
Quick question: Can you check this? I appreciate it.,ambiguous,Concierge curated router examples
"Please, Please take my number and call me back. Please.",sales_or_contact,Concierge curated router examples
